review_id,platform,product_name,rating,review_text,review_length,verified_purchase,duplicate_phrase_score,reviewer_history,review_post_gap
PR_0227,Flipkart,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.94,4,0
PR_0228,Flipkart,Prestige Induction Cooktop 1200W,4,Decent quality cooktop for the price.,6,1,0.18,180,26
PR_0229,Reliance Digital,Prestige Induction Cooktop 1200W,4,Very nice induction must buy,5,0,0.82,5,2
PR_0230,Flipkart,Prestige Induction Cooktop 1200W,3,Highly recommended induction cooktop for regular household cooking.,8,1,0.12,100,31
PR_0231,Flipkart,Prestige Induction Cooktop 1200W,5,The induction cooktop works well for daily cooking.,8,1,0.18,182,12
PR_0232,Flipkart,Prestige Induction Cooktop 1200W,4,Heats fast and is energy efficient.,6,1,0.06,121,31
PR_0233,Flipkart,Prestige Induction Cooktop 1200W,4,Amazing cooktop best best best,5,0,0.68,2,2
PR_0234,Flipkart,Prestige Induction Cooktop 1200W,4,Best induction cooktop ever buy now,6,0,0.87,5,0
PR_0235,Flipkart,Prestige Induction Cooktop 1200W,5,Awesome awesome awesome,3,0,0.78,2,1
PR_0236,Reliance Digital,Prestige Induction Cooktop 1200W,5,The induction cooktop works well for daily cooking.,8,1,0.05,27,12
PR_0237,Reliance Digital,Prestige Induction Cooktop 1200W,4,Amazing cooktop best best best,5,0,0.67,3,1
PR_0238,Reliance Digital,Prestige Induction Cooktop 1200W,3,The induction cooktop works well for daily cooking.,8,1,0.21,160,33
PR_0239,Flipkart,Prestige Induction Cooktop 1200W,5,The induction cooktop works well for daily cooking.,8,1,0.18,41,34
PR_0240,Flipkart,Prestige Induction Cooktop 1200W,4,Decent quality cooktop for the price.,6,1,0.27,39,58
PR_0241,Reliance Digital,Prestige Induction Cooktop 1200W,5,Best induction cooktop ever buy now,6,0,0.85,4,1
PR_0242,Flipkart,Prestige Induction Cooktop 1200W,4,Best induction cooktop ever buy now,6,0,0.74,5,2
PR_0243,Reliance Digital,Prestige Induction Cooktop 1200W,5,Very nice induction must buy,5,0,0.88,2,1
PR_0244,Flipkart,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.74,3,1
PR_0245,Flipkart,Prestige Induction Cooktop 1200W,3,Excellent induction cooktop from Prestige. Build quality is solid and temperature control is accurate.,14,1,0.1,137,58
PR_0246,Flipkart,Prestige Induction Cooktop 1200W,4,Decent quality cooktop for the price.,6,1,0.22,127,29
PR_0247,Reliance Digital,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.75,4,0
PR_0248,Flipkart,Prestige Induction Cooktop 1200W,4,Highly recommended induction cooktop for regular household cooking.,8,1,0.18,175,40
PR_0249,Flipkart,Prestige Induction Cooktop 1200W,4,Excellent induction cooktop from Prestige. Build quality is solid and temperature control is accurate.,14,1,0.18,155,45
PR_0250,Flipkart,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.86,4,0
PR_0251,Flipkart,Prestige Induction Cooktop 1200W,5,Good product and easy to use.,6,1,0.16,193,30
PR_0252,Reliance Digital,Prestige Induction Cooktop 1200W,5,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.25,159,29
PR_0253,Flipkart,Prestige Induction Cooktop 1200W,3,Satisfied with the performance.,4,1,0.02,111,16
PR_0254,Reliance Digital,Prestige Induction Cooktop 1200W,5,Heats fast and is energy efficient.,6,1,0.25,67,43
PR_0255,Reliance Digital,Prestige Induction Cooktop 1200W,3,Highly recommended induction cooktop for regular household cooking.,8,1,0.13,44,59
PR_0256,Flipkart,Prestige Induction Cooktop 1200W,5,I have been using this Prestige induction cooktop for a few months and it works flawlessly. Heating is fast and cooking is very convenient.,24,1,0.15,171,26
PR_0257,Flipkart,Prestige Induction Cooktop 1200W,5,The induction cooktop works well for daily cooking.,8,1,0.2,71,59
PR_0258,Flipkart,Prestige Induction Cooktop 1200W,5,Very nice induction must buy,5,0,0.78,2,0
PR_0259,Reliance Digital,Prestige Induction Cooktop 1200W,5,The induction cooktop works well for daily cooking.,8,1,0.18,184,40
PR_0260,Reliance Digital,Prestige Induction Cooktop 1200W,3,Decent quality cooktop for the price.,6,1,0.1,146,35
PR_0261,Reliance Digital,Prestige Induction Cooktop 1200W,3,The induction cooktop works well for daily cooking.,8,1,0.19,101,15
PR_0262,Reliance Digital,Prestige Induction Cooktop 1200W,5,Satisfied with the performance.,4,1,0.13,181,44
PR_0263,Flipkart,Prestige Induction Cooktop 1200W,4,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.21,153,29
PR_0264,Flipkart,Prestige Induction Cooktop 1200W,3,Satisfied with the performance.,4,1,0.06,26,53
PR_0265,Flipkart,Prestige Induction Cooktop 1200W,5,Amazing cooktop best best best,5,0,0.84,1,2
PR_0266,Flipkart,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.67,1,0
PR_0267,Reliance Digital,Prestige Induction Cooktop 1200W,4,Excellent induction cooktop from Prestige. Build quality is solid and temperature control is accurate.,14,1,0.09,65,21
PR_0268,Reliance Digital,Prestige Induction Cooktop 1200W,5,Decent quality cooktop for the price.,6,1,0.28,90,28
PR_0269,Flipkart,Prestige Induction Cooktop 1200W,5,Awesome awesome awesome,3,0,0.72,1,2
PR_0270,Reliance Digital,Prestige Induction Cooktop 1200W,4,Decent quality cooktop for the price.,6,1,0.15,88,56
PR_0271,Reliance Digital,Prestige Induction Cooktop 1200W,4,Decent quality cooktop for the price.,6,1,0.06,35,37
PR_0272,Flipkart,Prestige Induction Cooktop 1200W,3,The induction cooktop works well for daily cooking.,8,1,0.18,66,22
PR_0273,Flipkart,Prestige Induction Cooktop 1200W,5,Good product and easy to use.,6,1,0.14,39,39
PR_0274,Flipkart,Prestige Induction Cooktop 1200W,4,Best induction cooktop ever buy now,6,0,0.87,3,0
PR_0275,Reliance Digital,Prestige Induction Cooktop 1200W,5,Good product and easy to use.,6,1,0.23,112,38
PR_0276,Flipkart,Prestige Induction Cooktop 1200W,4,Original Prestige product with good safety features and reliable performance.,10,1,0.26,146,21
PR_0277,Reliance Digital,Prestige Induction Cooktop 1200W,5,Amazing cooktop best best best,5,0,0.65,1,2
PR_0278,Flipkart,Prestige Induction Cooktop 1200W,3,Decent quality cooktop for the price.,6,1,0.13,111,5
PR_0279,Flipkart,Prestige Induction Cooktop 1200W,3,Good product and easy to use.,6,1,0.05,155,54
PR_0280,Flipkart,Prestige Induction Cooktop 1200W,3,Satisfied with the performance.,4,1,0.23,186,39
PR_0281,Reliance Digital,Prestige Induction Cooktop 1200W,4,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.07,46,44
PR_0282,Flipkart,Prestige Induction Cooktop 1200W,5,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.05,103,44
PR_0283,Flipkart,Prestige Induction Cooktop 1200W,5,Good product and easy to use.,6,1,0.23,159,56
PR_0284,Flipkart,Prestige Induction Cooktop 1200W,5,Best induction cooktop ever buy now,6,0,0.63,2,2
PR_0285,Reliance Digital,Prestige Induction Cooktop 1200W,5,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.06,139,25
PR_0286,Reliance Digital,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.67,1,1
PR_0287,Flipkart,Prestige Induction Cooktop 1200W,3,Decent quality cooktop for the price.,6,1,0.3,62,31
PR_0288,Flipkart,Prestige Induction Cooktop 1200W,4,Satisfied with the performance.,4,1,0.03,115,14
PR_0289,Reliance Digital,Prestige Induction Cooktop 1200W,4,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.07,23,57
PR_0290,Flipkart,Prestige Induction Cooktop 1200W,4,Amazing cooktop best best best,5,0,0.8,1,1
PR_0291,Flipkart,Prestige Induction Cooktop 1200W,4,The induction cooktop works well for daily cooking.,8,1,0.08,116,21
PR_0292,Reliance Digital,Prestige Induction Cooktop 1200W,5,Original Prestige product with good safety features and reliable performance.,10,1,0.19,21,35
PR_0293,Reliance Digital,Prestige Induction Cooktop 1200W,3,The induction cooktop works well for daily cooking.,8,1,0.07,110,18
PR_0294,Flipkart,Prestige Induction Cooktop 1200W,4,Best induction cooktop ever buy now,6,0,0.75,3,1
PR_0295,Reliance Digital,Prestige Induction Cooktop 1200W,4,Best induction cooktop ever buy now,6,0,0.82,3,0
PR_0296,Flipkart,Prestige Induction Cooktop 1200W,5,Amazing cooktop best best best,5,0,0.82,3,2
PR_0297,Flipkart,Prestige Induction Cooktop 1200W,4,Very satisfied with this purchase. The cooktop is easy to clean and cooks food evenly.,15,1,0.02,190,29
PR_0298,Reliance Digital,Prestige Induction Cooktop 1200W,4,Highly recommended induction cooktop for regular household cooking.,8,1,0.24,26,42
PR_0299,Reliance Digital,Prestige Induction Cooktop 1200W,5,Amazing cooktop best best best,5,0,0.79,5,2
PR_0300,Reliance Digital,Prestige Induction Cooktop 1200W,4,Nice nice nice nice,4,0,0.82,4,0
